LABEL	TOTAL12	PROPTB12	TB12	TOTAL13	PROPTB13	TB13	TOTAL14	PROPTB14	TB14	TOTAL15	PROPTB15	TB15	GAR12	GAR13	GAR14	GAR15
Everton	285	16.1	2.456	308	21.1	2.464	341	21.7	2.395	401	19.2	2.039	0	0	0	0
Adeline	780	3.8	0.585	603	3.8	0.445	477	2.9	0.324	338	6.5	0.691	0	0	0	0
Adrien	1839	6.7	1.018	1774	8.9	1.033	1716	10.3	1.139	1803	8.9	0.942	1	1	1	3
Agathe	745	10.7	1.634	720	15.8	1.848	887	18	1.991	940	16	1.694	0	0	0	0
Alan	200	1.5	0.228	100	3.1	0.365	292	4.1	0.454	281	3.6	0.378	1	2	1	1
Alex	277	4	0.604	293	6.8	0.797	331	5.7	0.634	372	7	0.742	1	1	1	1
Alexandra	1005	6.7	1.014	799	8	0.935	855	10.5	1.162	707	7.4	0.781	4	0	0	0
Alexandre	3831	5.6	0.854	3689	8	0.93	3686	6.9	0.767	3479	7.2	0.766	1	1	1	1
Alexia	794	5.5	0.843	764	7.6	0.886	859	8.6	0.951	768	8.2	0.871	0	0	0	0
Alexis	1995	4.9	0.74	2048	6.2	0.724	2205	6.7	0.736	2141	7.1	0.754	1	1	1	1
Alice	1306	12.9	1.957	1226	17.5	2.047	1340	18.1	1.993	1301	19.8	2.097	0	0	0	0
Alicia	491	3.5	0.527	545	5.5	0.643	609	6.4	0.707	630	6.2	0.657	0	0	0	0
Aline	292	5.8	0.886	261	11.5	1.342	302	10.3	1.133	221	8.6	0.913	0	0	0	0
Alison	341	0.6	0.089	238	4.6	0.54	241	3.3	0.366	275	3.6	0.386	0	0	0	0
Alix	322	12.4	1.89	345	17.7	2.064	364	18.7	2.062	376	19.7	2.09	0	0	0	0
Alizee	268	6	0.908	261	7.3	0.85	275	11.3	1.244	238	10.5	1.115	0	0	0	0
Amandine	1588	4.4	0.671	1341	6.8	0.792	1308	8	0.886	1207	7.6	0.809	0	0	0	0
Amaury	231	9.5	1.449	270	10.4	1.211	263	12.5	1.385	262	12.6	1.337	1	1	1	1
Amelie	1299	5.2	0.796	1088	9.2	1.073	1206	9.9	1.089	1195	11	1.164	0	0	0	0
Anaelle	266	7.9	1.201	298	7.4	0.862	383	14.4	1.585	396	15.2	1.609	0	0	0	0
Anais	2775	4.6	0.696	2510	6.1	0.716	2359	6	0.66	2164	7.7	0.819	0	0	0	0
Andrea	434	3.7	0.561	607	5.8	0.673	597	4.5	0.499	572	8.2	0.872	0	0	0	0
Angelique	481	2.9	0.443	404	4.2	0.491	349	7.2	0.791	309	7.1	0.756	0	0	0	0
Anissa	262	3.4	0.523	251	3.6	0.419	232	3.4	0.381	229	2.2	0.232	0	0	0	0
Anna	387	13.4	2.044	358	14.8	1.728	433	15.2	1.682	534	16.5	1.75	0	0	0	0
Anne	525	10.7	1.623	470	17.4	2.037	458	14.8	1.639	374	14.4	1.533	0	0	0	0
Anne-Sophie	353	7.9	1.207	257	8.2	0.954	210	13.8	1.524	100	10.5	1.114	0	0	0	2
Anthony	1673	2.9	0.446	1509	4.2	0.487	1571	4.3	0.478	1285	4.8	0.512	1	1	1	1
Antoine	3369	7.5	1.147	3353	9.5	1.107	3671	9.8	1.079	3450	10.3	1.089	1	1	1	1
Antonin	258	11.6	1.769	287	12.2	1.424	341	9.4	1.036	367	10.1	1.07	1	1	1	1
Arnaud	1024	6.5	0.995	874	10.9	1.269	919	7.2	0.793	766	8.9	0.943	1	1	1	1
Arthur	1178	7.7	1.175	1302	10.6	1.237	1491	9.3	1.022	1526	10.5	1.113	1	1	1	1
Aude	358	14.5	2.21	312	15.1	1.759	326	16.9	1.862	298	10.1	1.069	0	0	0	0
Audrey	1908	5.5	0.837	1552	7.5	0.88	1431	7.6	0.841	1257	8.8	0.938	0	0	0	0
Aurelie	1189	5.4	0.819	1065	7.2	0.844	923	6.9	0.765	708	7.9	0.84	0	0	0	0
Aurelien	780	5.4	0.819	775	10.7	1.25	810	9.5	1.049	774	9.6	1.015	1	1	1	1
Aurore	678	5	0.763	572	9.3	1.082	534	9.9	1.096	525	12.8	1.355	0	0	0	0
Axel	761	6.4	0.98	876	5	0.586	1025	6	0.657	1149	7.2	0.767	1	1	1	1
Axelle	284	5.6	0.857	440	8.2	0.955	449	10	1.106	516	10.9	1.152	0	0	0	0
Aymeric	310	5.2	0.785	329	7.3	0.852	405	11.6	1.281	325	9.2	0.98	1	1	1	1
Baptiste	1310	7.6	1.15	1424	9.4	1.099	1469	9.6	1.059	1521	9.3	0.991	1	1	1	1
Barbara	265	7.5	1.148	213	7.5	0.877	205	10.2	1.131	100	8.2	0.87	0	0	0	2
Bastien	979	5.7	0.87	967	6.6	0.773	936	7.8	0.861	905	8.7	0.927	1	1	1	1
Benjamin	2088	5.4	0.816	2020	7.6	0.89	1930	7.5	0.829	1680	7.4	0.784	1	1	1	1
Benoit	790	7.6	1.155	687	10.3	1.206	650	11.5	1.274	657	11.3	1.196	1	1	1	1
